Sample Input
8190 287
1795 291
6444 974
7533 69
3833 673
562 967
1709 783
8858 225
7995 857
9519 889
7878 786
7355 85
8517 162
3426 635
2446 893
1698 996
1316 91
9781 55
9873 864
6225 319
9018 352
7760 136
363 166
4350 104
5376 386
1461 905
5838 352
6834 640
1133 833
1180 936
378 930
3152 446
1381 510
5666 143
1705 120
928 993
1806 326
3384 246
932 238
6852 401
9366 434
7298 372
2242 941
3159 11
6758 613
5925 330
4252 300
967 988
3085 90
2193 36
8572 145
5219 273
9979 93
213 833
7990 321
9245 140
8904 98
4223 815
5211 40
1471 923
7087 900
5670 222
2066 206
2349 784
5812 441
2017 552
7144 269
7246 696
9632 64
3321 46
3981 333
3732 464
2940 577
8738 542
4305 820
4110 480
3143 538
1653 408
2289 23
4853 847
4455 248
9123 34
8897 253
5703 773
5942 122
2786 104
6976 196
6694 904
6579 858
2469 848
5834 422
4951 243
1649 426
4098 90
3992 720
2828 837
6513 311
7622 731
7519 219
9885 581
1367 220
318 385
7111 900
130 882
7823 890
931 576
7102 405
4184 433
13 675
7628 708
8975 242
4252 661
660 1000
2377 460
3019 508
5420 209
5001 849
5921 735
8130 599
4464 825
5943 384
622 27
9260 212
8134 405
419 648
2208 586
4055 884
1746 231
5167 254
6955 233
1937 131
3299 720
8943 543
6675 186
9248 657
3515 193
839 463
1477 126
1663 775
8696 505
6876 377
1250 992
7304 325
8887 83
9770 877
2771 666
9007 967
5438 319
9384 25
5294 217
6806 522
1851 393
6280 111
362 18
3550 518
9937 825
6883 582
3991 422
871 377
8530 433
518 258
4141 333
7548 460
7599 217
5923 809
9885 338
3539 614
3838 512
7337 274
6061 219
6304 767
4972 517
9062 601
6592 244
7635 945
2469 672
16 870
512 291
8437 97
5800 609
3784 732
8984 2
2875 918
5681 299
182 639
2836 611
1029 199
8267 825
7748 22
808 800
5587 727
2525 180
4913 289
1614 589
481 318
1447 449
6196 150
4856 22
3499 203
6974 594
7108 249
1637 200
5973 163
4637 87
3817 322
3155 825
7399 655
2267 665
4560 45
5950 483
5560 957
1306 841
2204 730
245 13
5025 39
3573 28
8893 796
3710 488
9904 403
1581 307
7531 392
8751 308
3550 694
1742 981
9900 48
826 24
2432 771
4140 676
2899 185
5679 539
6968 372
5799 86
6575 211
3458 126
3513 20
6261 840
3587 48
9218 883
5943 909
8689 697
7461 720
1770 148
2878 987
3374 616
8649 9
7010 109
7707 675
2964 393
9641 891
286 811
2604 869
3658 325
1257 128
2428 133
939 231
1337 231
2286 98
9601 540
7304 604
7198 717
9443 265
1490 56
1423 135
8542 838
848 40
2159 450
6494 887
887 151
836 80
8929 210
1777 277
3719 956
8048 241
5716 190
1518 289
7493 203
5426 239
3120 754
1028 442
5179 381
4420 954
6592 640
2873 425
6572 10
7121 81
7720 258
7578 755
7223 679
6735 407
4574 596
9480 761
6595 430
9377 11
1316 314
9309 737
7500 923
7457 490
4735 733
1088 518
6848 956
1405 892
6128 540
753 759
851 576
2396 942
7512 888
99 615
3685 433
8996 20
8248 262
6341 444
4511 205
1463 814
3938 514
2373 844
3347 405
997 729
7106 652
2394 559
6968 105
6312 123
5703 809
6795 864
4059 75
4905 623
1363 66
1088 570
2681 892
8806 753
3409 783
7719 308
8726 388
6166 448
4138 263
659 587
560 922
6762 464
4408 538
6402 540
8721 568
1742 628
2140 147
1576 996
7726 877
2108 103
260 984
3789 262
1114 857
4702 277
5862 318
6960 534
5987 569
3539 189
482 753
4019 556
7942 588
8773 342
8250 987
2906 78
2320 839
9270 307
2415 995
8102 830
6529 915
5131 323
8170 13
1467 91
6354 55
5099 411
3405 896
9102 588
8530 984
2406 423
6264 628
9577 729
4794 22
9613 46
524 466
572 627
7897 712
9839 61
5336 977
9362 665
9037 983
5916 949
4150 611
6218 313
5327 627
8194 787
4919 940
352 670
3296 81
9662 491
7960 977
4054 429
7510 424
2280 516
5731 254
1220 112
6901 607
7750 484
2584 734
7028 233
797 307
9085 410
5534 262
9472 401
1229 685
4550 721
8878 809
6427 934
912 155
4768 376
595 85
8027 148
5506 706
2788 551
9023 722
1992 361
608 130
8041 287
3029 449
2888 916
8023 998
3781 461
9161 268
8350 494
8524 330
9420 951
5694 480
4871 617
6262 230
6096 991
850 636
6582 534
383 563
6800 624
645 364
5238 338
7671 182
6770 85
1595 431
4190 112
3119 851
4807 655
1158 759
1821 591
6620 678
8753 249
271 668
2915 407
8493 542
880 191
6309 721
7054 562
9233 734
7450 518
3028 882
6447 365
1534 849
5539 171
8015 796
6520 18
7121 917
9376 654
6725 255
9689 598
6788 666
1698 616
6872 990
3620 207
5420 255
2223 890
2211 518
872 140
8940 452
2498 721
2724 150
3688 904
9608 287
2140 104
6292 160
5139 552
2473 162
1989 572
525 701
7147 749
3226 841
6514 940
8041 293
997 902
5016 20
5759 320
5650 632
7589 460
2825 734
7630 313
4880 610
7529 62
2330 306
4780 573
2250 150
9195 120
6802 532
6637 502
3095 735
2346 431
2859 859
517 187
7396 666
7880 339
5025 36
435 977
5650 570
2898 234
231 107
7647 238
3525 129
5349 397
5036 699
992 776
2417 370
1996 144
4836 729
9332 475
3440 906
3948 981
2008 765
5238 23
4663 102
3394 410
9823 694
2251 673
8339 221
9319 673
1365 633
5652 800
3794 729
2476 222
2804 653
1637 16
170 299
1617 621
9339 792
6729 399
8819 138
2695 630
1513 809
1896 730
8189 512
3182 540
9078 535
3263 719
9998 273
4056 639
1788 322
800 586
945 800
3073 465
2350 699
6178 168
1861 897
4495 621
3932 801
6102 22
5407 69
6970 619
6869 196
7276 58
9295 97
5441 35
2635 114
4641 319
3988 1
7096 752
1088 13
2531 565
1250 665
6889 781
9340 677
8991 122
7822 191
5635 449
5485 3
4870 599
1180 830
354 716
908 781
8448 847
8342 387
7384 231
7344 565
7206 185
1758 281
1027 783
8167 994
3096 531
2952 272
8245 926
9213 499
8357 963
4111 144
7959 266
3817 507
7886 12
4021 927
1584 866
783 882
1803 26
5401 744
6800 584
9221 168
6831 57
6353 336
9899 764
3531 666
4849 990
5375 359
3844 813
6779 421
7219 382
5305 580
4043 563
7954 350
4487 835
5669 913
4673 918
241 893
3619 431
5971 755
7395 85
9814 327
1678 448
5168 697
3783 563
3449 70
6958 958
9233 44
4077 83
4893 26
8720 55
7036 265
3143 823
5880 667
6509 842
7038 262
6902 229
9177 463
9672 958
6326 141
3009 987
4474 468
640 437
8220 519
5720 81
8124 671
3335 132
7712 451
5042 375
4757 696
2040 346
2697 109
4686 114
7324 992
3053 915
5946 550
3911 736
2226 609
2391 119
7273 33
2548 36
1061 541
7613 865
4638 97
6374 264
7219 820
4416 572
3044 240
8800 252
1149 433
4677 390
9216 820
7448 519
9684 873
6768 786
902 290
4357 390
3503 996
1974 484
9715 605
2283 42
2342 453
9586 433
9764 203
8879 143
856 825
2570 998
9675 633
7118 646
5779 652
5199 158
9791 315
6676 144
8518 712

Output: 295366
